dataset_name,n_samples,n_features,feature_mean,feature_std,coeff_variation,target_mean,target_std,target_skewness,target_kurtosis,n_target_outliers,avg_skewness,avg_kurtosis,mean_abs_correlation,n_zero_variance_features,mean_variance,median_variance,mean_feature_entropy,pca_explained_variance,avg_feature_target_correlation,avg_mutual_info,model_name,mae_val,mse_val,rmse_val,r2_val,mae_test,mse_test,rmse_test,r2_test,predicted_mae,predicted_mse,predicted_rmse,predicted_r2,mae_abs_error,mse_abs_error,rmse_abs_error,r2_abs_error
Diabetes,254,10,-0.0035485631387285055,0.9983541980623911,-281.3404070978751,149.38976377952756,77.75315304607021,0.5251639900953111,-0.7789428777948539,0,0.4089385401548805,0.054032821657626996,0.3125644010088749,0,0.9949281796176563,0.9884430676569085,1.8317920526224658,0.8417228754712656,0.3320795916983315,0.1005613120705601,Linear Regression,45.19267095788037,2819.6866419985263,53.10072167116494,0.5286920806959017,42.7812470783583,2935.326336509814,54.17865203666306,0.4459716376882449,42.781364,2935.3274,54.17945,0.44507223,0.0001173625596706529,0.0010560683108451485,0.0007989521064715177,0.0008994040113344814
Diabetes,254,10,-0.0035485631387285055,0.9983541980623911,-281.3404070978751,149.38976377952756,77.75315304607021,0.5251639900953111,-0.7789428777948539,0,0.4089385401548805,0.054032821657626996,0.3125644010088749,0,0.9949281796176563,0.9884430676569085,1.8317920526224658,0.8417228754712656,0.3320795916983315,0.1005613120705601,Random Forest Regressor,46.57272727272728,3122.7189939393934,55.88129377474535,0.47804051355089117,44.01865168539326,2996.1501348314605,54.737100168272164,0.43449144587632194,44.01881,2996.1501,54.737583,0.43424746,0.00015858682353808717,1.165291450888617e-05,0.0004829921282265559,0.0002439819347478389
Diabetes,254,10,-0.0035485631387285055,0.9983541980623911,-281.3404070978751,149.38976377952756,77.75315304607021,0.5251639900953111,-0.7789428777948539,0,0.4089385401548805,0.054032821657626996,0.3125644010088749,0,0.9949281796176563,0.9884430676569085,1.8317920526224658,0.8417228754712656,0.3320795916983315,0.1005613120705601,Decision Tree Regressor,56.37373737373738,5205.242424242424,72.14736602428687,0.12994871844897704,61.550561797752806,5913.685393258427,76.90049020167835,-0.11617893823335002,61.549725,5913.684,76.898544,-0.11479321,0.0008372188953842397,0.0013112271772115491,0.0019458901549143093,0.001385727011655069
Diabetes,254,10,-0.0035485631387285055,0.9983541980623911,-281.3404070978751,149.38976377952756,77.75315304607021,0.5251639900953111,-0.7789428777948539,0,0.4089385401548805,0.054032821657626996,0.3125644010088749,0,0.9949281796176563,0.9884430676569085,1.8317920526224658,0.8417228754712656,0.3320795916983315,0.1005613120705601,Support Vector Regressor,63.96515941740262,5803.402517237187,76.18006640347058,0.02996683229148156,57.371328325263185,4605.791235551026,67.86597995719966,0.13067963052576315,57.370354,4605.79,67.86466,0.13184592,0.000974626532716627,0.001196488526147732,0.0013177867894995643,0.0011662907522367316
Diabetes,254,10,-0.0035485631387285055,0.9983541980623911,-281.3404070978751,149.38976377952756,77.75315304607021,0.5251639900953111,-0.7789428777948539,0,0.4089385401548805,0.054032821657626996,0.3125644010088749,0,0.9949281796176563,0.9884430676569085,1.8317920526224658,0.8417228754712656,0.3320795916983315,0.1005613120705601,K-Nearest Neighbors Regressor,49.22626262626263,3653.258585858586,60.442192100043705,0.38936132932825984,42.62696629213483,3082.3357303370785,55.51878718359289,0.4182243399879809,42.627472,3082.3352,55.518227,0.4184415,0.0005056316932936511,0.0005252589535302832,0.0005605600577354153,0.00021716425205509093
Diabetes,254,10,-0.0035485631387285055,0.9983541980623911,-281.3404070978751,149.38976377952756,77.75315304607021,0.5251639900953111,-0.7789428777948539,0,0.4089385401548805,0.054032821657626996,0.3125644010088749,0,0.9949281796176563,0.9884430676569085,1.8317920526224658,0.8417228754712656,0.3320795916983315,0.1005613120705601,XGBoost Regressor,51.78225395896218,3799.589902679434,61.64081361143308,0.3649021899924857,48.07081466846252,3744.9604802426406,61.19608222952382,0.29315718801539226,48.071182,3744.961,61.196644,0.29299515,0.00036758251404478415,0.00045725735935775447,0.0005615998218857499,0.00016203315775675797
California Housing,11925,8,-0.002633211504962653,0.919677321819128,-349.2607107654923,2.0668992461215936,1.150725057755322,0.9757861283747754,0.33480662251505144,618,13.420686402570185,804.8642460384734,0.13445906660266452,0,0.8457794312288809,0.9865124560223539,1.002565044913806,0.9125521988267686,0.1607257807141383,0.17291272246225342,Linear Regression,0.5330004193203802,0.531391572445413,0.7289660982826383,0.6119310602537824,0.5332059998533256,0.5632207039182142,0.7504803154768379,0.5701947153366693,0.5323794,0.56438893,0.74666506,0.5743731,0.0008266110441215169,0.0011682268793626882,0.0038152549566657923,0.0041784106932989395
California Housing,11925,8,-0.002633211504962653,0.919677321819128,-349.2607107654923,2.0668992461215936,1.150725057755322,0.9757861283747754,0.33480662251505144,618,13.420686402570185,804.8642460384734,0.13445906660266452,0,0.8457794312288809,0.9865124560223539,1.002565044913806,0.9125521988267686,0.1607257807141383,0.17291272246225342,Random Forest Regressor,0.33403210233267927,0.2560601555610173,0.5060238685684869,0.8130023164979283,0.33344260266472864,0.260713766365314,0.5106013771674671,0.8010439712376684,0.33239365,0.25706154,0.5114071,0.80140996,0.0010489564244942629,0.003652225284839161,0.0008057001450023638,0.00036598855542246955
California Housing,11925,8,-0.002633211504962653,0.919677321819128,-349.2607107654923,2.0668992461215936,1.150725057755322,0.9757861283747754,0.33480662251505144,618,13.420686402570185,804.8642460384734,0.13445906660266452,0,0.8457794312288809,0.9865124560223539,1.002565044913806,0.9125521988267686,0.1607257807141383,0.17291272246225342,Decision Tree Regressor,0.4423941486810552,0.48737864800514497,0.6981250948111986,0.6440731750488373,0.45273444282945735,0.49804296298396317,0.705721590277613,0.6199331878414487,0.45295838,0.49786267,0.7060102,0.6199948,0.00022393238607304466,0.0001802961386415114,0.0002886321573845052,6.163132282743788e-05
California Housing,11925,8,-0.002633211504962653,0.919677321819128,-349.2607107654923,2.0668992461215936,1.150725057755322,0.9757861283747754,0.33480662251505144,618,13.420686402570185,804.8642460384734,0.13445906660266452,0,0.8457794312288809,0.9865124560223539,1.002565044913806,0.9125521988267686,0.1607257807141383,0.17291272246225342,Support Vector Regressor,0.39254114508663246,0.3420143729678291,0.5848199491876359,0.7502309747126691,0.3966523755756778,0.3556325568733982,0.5963493580724291,0.7286094930829905,0.3984737,0.36066964,0.59834105,0.72581416,0.001821334246023265,0.005037085813445696,0.001991689691395404,0.0027953293981455296
